"","shop_id","model_id","offer_id","binary_ware_md5","category_id","flags_available","local","flags_cpa","binary_price_price","fee","flags_yx_money","fast_delivery","flags_inpost_enable","flags_delivery","flags_any_delivery","flags_post_term","shop_rating","pricelevel","cond.main","days_to"
"470",262,14206636,"1394024","nvbs5t2ZNylo6nuP4L9qOQ",91491,TRUE,TRUE,TRUE,56490,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"471",262,14206637,"1380587","JRBgrGGAFlZcdpkri50Iyg",91491,TRUE,TRUE,TRUE,67990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"472",262,14206637,"1380588","Yytcpl8p-5QCmKL9SCzfhQ",91491,TRUE,TRUE,TRUE,67990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"473",262,14206637,"1380590","mAbGMtNgYXCTxMFgp_x9uQ",91491,TRUE,TRUE,TRUE,67990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"474",262,14206637,"1380591","cqv9hDU4-pANSXHrUjA9ag",91491,TRUE,TRUE,TRUE,67990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"475",262,14206682,"1380499","20zm_eAorvzYudfYRML0Fw",91491,TRUE,TRUE,TRUE,55990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"476",262,14206682,"1380566","w8VpBHG5KHUf_7j9Udr1Nw",91491,TRUE,TRUE,TRUE,60990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"477",262,14206682,"1380569","1QnrGKWPZuuWtj_JT1K3bg",91491,TRUE,TRUE,TRUE,55990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"478",262,14206682,"1380572","yhA05e-tI861y_9l47JnBw",91491,TRUE,TRUE,TRUE,55990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"479",262,14206682,"1380575","tQ3etPAsYsQb2aJwWgUKww",91491,TRUE,TRUE,TRUE,55990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"480",262,14206682,"1392793","6Uyc_W58lkGNvWXh1iAJ9Q",91491,TRUE,TRUE,TRUE,65490,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"481",262,14206682,"1392794","yzWE7wqzFDaaI82YyNW-OA",91491,TRUE,TRUE,TRUE,65490,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"482",262,14206682,"1394023","dsKGV7SJ88c5E9q9P8Yi4Q",91491,TRUE,TRUE,TRUE,65490,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"483",262,14206684,"1380565","WQURXrPq40xg82vE8amMUA",91491,TRUE,TRUE,TRUE,61990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"484",262,14206684,"1380568","b7w58NSY1ORJ0Xe1iKAkcw",91491,TRUE,TRUE,TRUE,65990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"485",262,14206684,"1380570","v_u7PphgNNALvz5jqRo2AQ",91491,TRUE,TRUE,TRUE,61990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"486",262,14206684,"1380573","Ik4-9nqtk01wHZ5i3dkfpQ",91491,TRUE,TRUE,TRUE,61990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"487",262,14206684,"1380576","QnYbcyHamLlcsh9_W8VpKg",91491,TRUE,TRUE,TRUE,61990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"488",262,14206711,"1380578","5ev-9YUP3WeQafLLFx7wgw",91491,TRUE,TRUE,TRUE,74990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"489",262,14206711,"1380579","jJkqMbZAA0pen9CiDIr2Yw",91491,TRUE,TRUE,TRUE,82990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"490",262,14206711,"1387443","W7eeQATmW0GWYhVKX7sEWw",91491,TRUE,TRUE,TRUE,74990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"491",262,14206712,"1380583","jaoGUfCc7uKL_k0lkAwsaA",91491,TRUE,TRUE,TRUE,84990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"492",262,14206712,"1380585","sTHeNMiAUMqmUIoN3VLfug",91491,TRUE,TRUE,TRUE,84990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"493",262,14206712,"1380586","gQjVrbCIfwFtIFRlhjD-2Q",91491,TRUE,TRUE,TRUE,84990,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"494",262,14255398,"1392105","r-uT0tDArezb1zmDdEYEog",91491,TRUE,TRUE,TRUE,30990,220,FALSE,NA,FALSE,FALSE,"False","False",5,5,TRUE,NA
"495",262,14255407,"1392104","3wMKK-7cYxSVAOehHHvsAQ",91491,TRUE,TRUE,TRUE,29990,220,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"496",262,14255414,"1392103","nGJVdXXpIi3mVJqsI2NN6g",91491,TRUE,TRUE,TRUE,25990,220,FALSE,NA,FALSE,FALSE,"False","False",5,5,TRUE,NA
"497",262,1711272382,"1355541","QCUDx5PTx6MOKtUZsdq_Qg",91491,TRUE,TRUE,TRUE,14490,220,FALSE,NA,FALSE,FALSE,"False","False",5,6,TRUE,NA
"504",324,11145540,"196105","VDfX02LpiDwFvymNpWPMwA",91491,TRUE,TRUE,TRUE,2859,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"505",324,11145542,"196103","UKL4pIOuODfOrwVV05IgwA",91491,TRUE,TRUE,TRUE,1647,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"568",324,13083990,"245648","xUaAf--Z0RuuZAIxVqRIOw",91491,TRUE,TRUE,TRUE,1080,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"638",324,13849550,"244659","OawzxBTu7XMeYzwUUkk9Ww",91491,TRUE,TRUE,TRUE,14990,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"639",324,13849550,"244662","WJ0gfsYVaiAxgWFSH5mdzQ",91491,TRUE,TRUE,TRUE,14990,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"640",324,13849550,"244663","jd8nqkZbERCzKnNIZ-5ihA",91491,TRUE,TRUE,TRUE,14990,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"641",324,13869827,"239659","AsdCsTs_47C1FQ4oXO-RBw",91491,TRUE,TRUE,TRUE,3612,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"666",324,13988672,"235954","C_-kRWRJm6CLq903fFnNUQ",91491,TRUE,TRUE,TRUE,18182,200,FALSE,NA,FALSE,FALSE,"False","False",5,6,TRUE,NA
"681",324,14015369,"245056","SOaZX1m2ePlUBt4OzYp5lg",91491,TRUE,TRUE,TRUE,6260,200,FALSE,NA,FALSE,FALSE,"False","False",5,8,TRUE,NA
"700",324,14187934,"245625","q40H-LtMT9Zf2GO_ENaj3A",91491,TRUE,TRUE,TRUE,13901,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"701",324,14187934,"245626","eEfvmkqT6tv8JVFrrbPJVA",91491,TRUE,TRUE,TRUE,13901,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"702",324,14195355,"243181","IPv0yCKqa-FFsx_gIEoJwg",91491,TRUE,TRUE,TRUE,15990,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"703",324,14195355,"243182","-mCCNs-t7YJflW82tAKSWQ",91491,TRUE,TRUE,TRUE,15990,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"704",324,14195355,"243186","20tSVo1En4YFat-UqdI6MQ",91491,TRUE,TRUE,TRUE,15990,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"705",324,14209901,"250794","8TA607AOcTq2jAldMDfjLw",91491,TRUE,TRUE,TRUE,17630,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"706",324,14225483,"244744","ilhFVFxv8E-Qwh-727E-nQ",91491,TRUE,TRUE,TRUE,16990,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"707",324,14257988,"244728","OXJZBy4i23yBQGvw9pJufg",91491,TRUE,TRUE,TRUE,7575,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"708",324,14257988,"244729","MAuf7wBZAB7aCyW_JWE6nQ",91491,TRUE,TRUE,TRUE,7575,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"709",324,14257988,"244730","ZW0iF3JRaVMkUw0frCBqdw",91491,TRUE,TRUE,TRUE,7575,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"710",324,14257988,"244731","mHoxn30cR_vyMBgW3l5ipA",91491,TRUE,TRUE,TRUE,7575,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"711",324,14257988,"244732","dTFK7le_pgfxNZlmfeNKNQ",91491,TRUE,TRUE,TRUE,7575,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"712",324,14257988,"244733","vwO2YrRncbPCWDM6mozWOA",91491,TRUE,TRUE,TRUE,7575,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"713",324,14257988,"244734","xRJJOSNfYLOrlfpS9sA1Ew",91491,TRUE,TRUE,TRUE,7575,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"714",324,14260089,"250818","Mo_DOzc1z6XtaJ-Q_T9LXA",91491,TRUE,TRUE,TRUE,3899,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"715",324,1710417828,"249613","mUIfYTqjzRssHwfWdoKdsg",91491,TRUE,TRUE,TRUE,10204,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"716",324,1710686455,"250384","o8ihpOGcmNC1c6jIgdXyjQ",91491,TRUE,TRUE,TRUE,9990,200,FALSE,NA,FALSE,FALSE,"False","False",5,5,TRUE,NA
"717",324,1710686455,"250426","axWy_o-XP1YvLyyanFqfrw",91491,TRUE,TRUE,TRUE,9990,200,FALSE,NA,FALSE,FALSE,"False","False",5,5,TRUE,NA
"725",361,12840987,"1249748","eX_j7Xy5tiCMxb78JrINOA",91491,TRUE,TRUE,TRUE,29990,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"726",361,12840987,"1249749","Z1F_x_Z39flnLKLiRLM4cA",91491,TRUE,TRUE,TRUE,25790,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"727",361,12840987,"1249750","yKpsFiNicGfWh4ffVlry3A",91491,TRUE,TRUE,TRUE,28390,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"728",361,12840987,"1249751","By8YDd32MzfXW52wf35P4A",91491,TRUE,TRUE,TRUE,25640,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"729",361,13188749,"1249097","2qLwgJ_F1MYouJLIPokE_Q",91491,TRUE,TRUE,TRUE,16100,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"730",361,13188749,"1249099","ebovRmwCUHPyC4l3RrGsFg",91491,TRUE,TRUE,TRUE,15500,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"731",361,13188749,"1249100","MyHXsi4TSFbMk3YTbZFO_w",91491,TRUE,TRUE,TRUE,15490,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"735",361,13486418,"1249756","vqKB6lxKtlltQbWWGzPiag",91491,TRUE,TRUE,TRUE,17400,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"736",361,13486418,"1249757","n1BZmlqt7ZZWhOvgC_DGaQ",91491,TRUE,TRUE,TRUE,18250,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"737",361,13486418,"1249759","2VY6w_0S0zKWYS246XoVXQ",91491,TRUE,TRUE,TRUE,17390,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"738",361,13486418,"1249761","7rrhRckJTK4ByV5lKjLdHQ",91491,TRUE,TRUE,TRUE,18260,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"762",361,13814762,"1249087","8txwH81KUNu-QWvG7Dja_Q",91491,TRUE,TRUE,TRUE,13520,201,FALSE,NA,FALSE,FALSE,"False","False",5,6,TRUE,NA
"763",361,13814762,"1249090","8xtPlnjoCbNVDN2DQ86vRw",91491,TRUE,TRUE,TRUE,13780,201,FALSE,NA,FALSE,FALSE,"False","False",5,6,TRUE,NA
"764",361,13814762,"1249091","imJyj9v77r7fpi3vb9BVSQ",91491,TRUE,TRUE,TRUE,14380,201,FALSE,NA,FALSE,FALSE,"False","False",5,7,TRUE,NA
"781",361,14180409,"1248461","-yGXlBzEkeKI5l1SGAhFgg",91491,TRUE,TRUE,TRUE,11480,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"782",361,14180409,"1248462","sjX2KJCGmzzR0jEo8_ZTxA",91491,TRUE,TRUE,TRUE,10890,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"783",361,14180409,"1248463","SWPrXEidY-ZmwYLYl-Z31g",91491,TRUE,TRUE,TRUE,10660,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"784",361,14180410,"1248458","xAOPbzzcPuOeovX3kAH8BA",91491,TRUE,TRUE,TRUE,13150,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"785",361,14180410,"1248459","VRiToJB6ubnSDVtVT2fIUA",91491,TRUE,TRUE,TRUE,13740,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"786",361,14180410,"1248460","sdCTd4V85mwqGQHbHwB11A",91491,TRUE,TRUE,TRUE,12990,201,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"870",430,12260186,"70257","rSW6cJQ3mJ0WvGMIaBQoyQ",91491,TRUE,TRUE,TRUE,39990,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"880",430,12323116,"69852","rW80Bd-bD9G1EOHfrrTR5g",91491,TRUE,TRUE,TRUE,17990,200,FALSE,NA,FALSE,FALSE,"False","False",5,7,TRUE,NA
"883",430,12413672,"70329","ucaKnoX2eHrNqAbxn7ZWbQ",91491,TRUE,TRUE,TRUE,8590,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"921",430,12692902,"70560","XjEuM-JUVgMaPPfJFld9Ag",91491,TRUE,TRUE,TRUE,11690,200,FALSE,NA,FALSE,FALSE,"False","False",5,5,TRUE,NA
"981",430,12867173,"84013","L0pcGscJnX0WXw9Z8h2xIg",91491,TRUE,TRUE,TRUE,8790,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"982",430,12867173,"84014","IwLXcfIbn40XjtPqQ4EvNg",91491,TRUE,TRUE,TRUE,8790,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"983",430,12867173,"84015","TmgfZivX5z6LhHb3myeTTg",91491,TRUE,TRUE,TRUE,8790,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"1250",430,13849550,"83675","yLN1QOGEmGjivuIMMWchGg",91491,TRUE,TRUE,TRUE,12990,200,FALSE,NA,FALSE,FALSE,"False","False",5,7,TRUE,NA
"1251",430,13849550,"83676","1UfWbXNYJbwdayOUHQ4pBQ",91491,TRUE,TRUE,TRUE,12990,200,FALSE,NA,FALSE,FALSE,"False","False",5,7,TRUE,NA
"1252",430,13849550,"83677","tl12HMD9RPAhhVzg9d0v-g",91491,TRUE,TRUE,TRUE,12990,200,FALSE,NA,FALSE,FALSE,"False","False",5,7,TRUE,NA
"1259",430,13859304,"83431","28ZEiJz32z85D9q6VQ52kw",91491,TRUE,TRUE,TRUE,12990,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1291",430,13910826,"83386","62PwpKGq0HKaDMNRvsiJaA",91491,TRUE,TRUE,TRUE,17890,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"1368",430,14045888,"83746","eaSmp7mGYRQ_RvDTFPawlA",91491,TRUE,TRUE,TRUE,22790,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"1369",430,14045888,"83747","2ewtNYqEoLBMm4ExJp_Ogg",91491,TRUE,TRUE,TRUE,22790,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"1370",430,14045888,"83813","ctZQIeBVB7wbCX_ph6iGxA",91491,TRUE,TRUE,TRUE,22790,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"1386",430,14124403,"83758","k1bgBY2SrV_TVjB6ziqJTw",91491,TRUE,TRUE,TRUE,11290,200,FALSE,NA,FALSE,FALSE,"False","False",5,2,TRUE,NA
"1413",430,14169157,"83696","bKogn7j17ssLNbSRkWnkvQ",91491,TRUE,TRUE,TRUE,7290,200,FALSE,NA,FALSE,FALSE,"False","False",5,4,TRUE,NA
"1414",430,14179026,"83670","0sZAUarIYD44cY-y8z5tcg",91491,TRUE,TRUE,TRUE,5190,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1415",430,14180415,"84048","PJ6cNon1dAbj1yDktDiFiA",91491,TRUE,TRUE,TRUE,15590,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"1416",430,14180415,"84049","HZpBewcHqe3_JlKKl2fd1w",91491,TRUE,TRUE,TRUE,15590,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"1417",430,14187934,"83668","4nglYDzLmA-quD6dLdT9Fw",91491,TRUE,TRUE,TRUE,12390,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1418",430,14187934,"83669","-1Q6tJBoixrLvB-x0HrCAw",91491,TRUE,TRUE,TRUE,12390,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1419",430,14188370,"83337","q4m8ZVyo_tMcyXQ7uJUUXg",91491,TRUE,TRUE,TRUE,12890,200,FALSE,NA,FALSE,FALSE,"False","False",5,2,TRUE,NA
"1420",430,14193154,"83693","t3bRGDWusdnHK8jUUoMVOA",91491,TRUE,TRUE,TRUE,4490,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1421",430,14193154,"83694","jozSINTgD4_vx9C-i4TbQg",91491,TRUE,TRUE,TRUE,4490,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1422",430,14193154,"83695","B7KZ76sFeNoOKenXhO-H2w",91491,TRUE,TRUE,TRUE,4490,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1423",430,14193154,"83717","DIvEeO4kAC4-fozioaTMRg",91491,TRUE,TRUE,TRUE,4490,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1424",430,14193258,"83718","qBhD_nKVl9-igorYXxlpCA",91491,TRUE,TRUE,TRUE,1950,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
"1425",430,14193260,"83692","KrLolfRTLemShGGMhxmEgQ",91491,TRUE,TRUE,TRUE,8490,200,FALSE,NA,FALSE,FALSE,"False","False",5,1,TRUE,NA
